# # Time (s)  amplitude (mm) amp error (mm)
        5.00         3.89         2.24
        6.01         3.03         2.45
        7.02         6.01         2.65
        8.03         7.72         2.83
        9.04         8.96         3.01
       10.05         8.03         3.17
       11.06        10.89         3.33
       12.07        11.82         3.47
       13.08         9.78         3.62
       14.09        11.87         3.75
       15.10        12.90         3.89
       16.11        13.33         4.01
       17.12        14.30         4.14
       18.13        12.91         4.26
       19.14        13.24         4.38
       20.15        12.37         4.49
       21.16         9.42         4.60
       22.17        12.77         4.71
       23.18        11.33         4.81
       24.19        11.19         4.92
       25.20         7.17         5.02
       26.21         9.17         5.12
       27.22        11.01         5.22
       28.23        10.35         5.31
       29.24         8.36         5.41
       30.25        10.49         5.50
       31.26        10.48         5.59
       32.27        11.02         5.68
       33.28        11.79         5.77
       34.29        11.30         5.86
       35.30        12.10         5.94
       36.31        13.61         6.03
       37.32        11.15         6.11
       38.33        15.90         6.19
       39.34        16.40         6.27
       40.35        13.63         6.35
       41.36        15.75         6.43
       42.37        15.55         6.51
       43.38        19.41         6.59
       44.39        19.75         6.66
       45.40        17.21         6.74
       46.41        17.27         6.81
       47.42        19.15         6.89
       48.43        16.81         6.96
       49.44        17.82         7.03
       50.45        14.24         7.10
       51.46        13.44         7.17
       52.47        14.10         7.24
       53.48        15.54         7.31
       54.49        16.09         7.38
       55.51        16.31         7.45
       56.52        13.26         7.52
       57.53        11.67         7.58
       58.54        14.48         7.65
       59.55        12.74         7.72
       60.56        16.32         7.78
       61.57        17.03         7.85
       62.58        13.89         7.91
       63.59        15.26         7.97
       64.60        17.03         8.04
       65.61        16.41         8.10
       66.62        21.50         8.16
       67.63        22.06         8.22
       68.64        21.90         8.28
       69.65        19.71         8.35
       70.66        20.75         8.41
       71.67        20.72         8.47
       72.68        24.40         8.53
       73.69        25.11         8.58
       74.70        22.78         8.64
       75.71        23.10         8.70
       76.72        24.92         8.76
       77.73        24.00         8.82
       78.74        19.53         8.87
       79.75        20.70         8.93
       80.76        19.77         8.99
       81.77        20.09         9.04
       82.78        20.25         9.10
       83.79        19.53         9.15
       84.80        21.57         9.21
       85.81        17.54         9.26
       86.82        19.06         9.32
       87.83        20.08         9.37
       88.84        18.83         9.43
       89.85        18.97         9.48
       90.86        21.59         9.53
       91.87        24.06         9.58
       92.88        24.79         9.64
       93.89        25.89         9.69
       94.90        27.14         9.74
       95.91        28.04         9.79
       96.92        24.91         9.84
       97.93        27.63         9.90
       98.94        28.30         9.95
       99.95        28.66        10.00
      100.96        30.51        10.05
      101.97        28.45        10.10
      102.98        27.80        10.15
      103.99        30.30        10.20
      105.00        30.79        10.25
